element_id,tests,docs,examples,missing
pw_log_string/pw_log_string_HandleMessageVaList,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/PW_HANDLE_LOG,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/PW_LOG_TOKENIZED_ENCODE_MESSAGE,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/PW_LOG_TOKENIZED_ENCODE_MESSAGE_LIGHT,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/PW_LOG_TOKENIZED_ENCODING_BUFFER_SIZE_BYTES,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/PW_LOG_TOKENIZED_FIELD_PREFIX,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/PW_LOG_TOKENIZED_FLAG_BITS,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/PW_LOG_TOKENIZED_FORMAT_STRING,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/PW_LOG_TOKENIZED_KEY_VALUE_SEPARATOR,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/PW_LOG_TOKENIZED_LEVEL_BITS,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/PW_LOG_TOKENIZED_LINE_BITS,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/PW_LOG_TOKENIZED_MODULE_BITS,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/PW_LOG_TOKENIZED_TO_GLOBAL_HANDLER,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/PW_LOG_TOKENIZED_TO_GLOBAL_HANDLER_WITH_METADATA,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/PW_LOG_TOKENIZED_TO_GLOBAL_HANDLER_WITH_PAYLOAD,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/_PW_LOG_TOKENIZED_FIELD,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/_PW_LOG_TOKENIZED_FLAGS,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/_PW_LOG_TOKENIZED_LEVEL,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/_PW_LOG_TOKENIZED_LINE,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/_PW_LOG_TOKENIZED_MODULE,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/_pw_log_tokenized_EncodeTokenizedLog,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/_pw_log_tokenized_EncodeTokenizedLogWithoutMetadata,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/pw::log_tokenized::GenericMetadata,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/pw::log_tokenized::GenericMetadata::GenericMetadata,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/pw::log_tokenized::GenericMetadata::Set,0,0,0,"docs.reference|examples|tests"
pw_log_tokenized/pw::log_tokenized::GenericMetadata::flags,0,0,0,"docs.reference|examples|tests"
