element_id,tests,docs,examples,missing
ffx audio gen sawtooth --duration,0,1,0,"examples|tests"
ffx audio gen sawtooth --format,0,1,0,"examples|tests"
ffx audio gen sawtooth --frequency,0,1,0,"examples|tests"
ffx audio gen sine,0,1,3,"tests"
ffx audio gen sine --amplitude,0,1,2,"tests"
ffx audio gen sine --duration,0,1,3,"tests"
ffx audio gen sine --format,0,1,3,"tests"
ffx audio gen sine --frequency,0,1,3,"tests"
ffx audio gen square,0,1,0,"examples|tests"
ffx audio gen square --amplitude,0,1,0,"examples|tests"
ffx audio gen square --duration,0,1,0,"examples|tests"
ffx audio gen square --duty-cycle,0,1,0,"examples|tests"
ffx audio gen square --format,0,1,0,"examples|tests"
ffx audio gen square --frequency,0,1,0,"examples|tests"
ffx audio gen triangle,0,1,0,"examples|tests"
ffx audio gen triangle --amplitude,0,1,0,"examples|tests"
ffx audio gen triangle --duration,0,1,0,"examples|tests"
ffx audio gen triangle --format,0,1,0,"examples|tests"
ffx audio gen triangle --frequency,0,1,0,"examples|tests"
ffx audio gen white-noise,0,1,0,"examples|tests"
ffx audio gen white-noise --amplitude,0,1,0,"examples|tests"
ffx audio gen white-noise --duration,0,1,0,"examples|tests"
ffx audio gen white-noise --format,0,1,0,"examples|tests"
ffx audio list-devices,0,1,1,"tests"
ffx audio play,3,1,3,""
ffx audio play --buffer-size,0,1,0,"examples|tests"
ffx audio play --clock,0,1,0,"examples|tests"
ffx audio play --file,0,1,2,"tests"
ffx audio play --gain,0,1,0,"examples|tests"
ffx audio play --mute,0,1,0,"examples|tests"
ffx audio play --packet-count,0,1,0,"examples|tests"
ffx audio play --usage,0,1,1,"tests"
ffx audio record,3,1,3,""
ffx audio record --buffer-size,0,1,0,"examples|tests"
ffx audio record --clock,0,1,0,"examples|tests"
ffx audio record --duration,0,1,2,"tests"
ffx audio record --format,0,1,2,"tests"
ffx audio record --gain,0,1,0,"examples|tests"
ffx audio record --mute,0,1,0,"examples|tests"
ffx audio record --usage,0,1,2,"tests"
ffx completion,0,1,1,"tests"
ffx component,20,5,24,""
ffx component capability,5,1,1,""
ffx component collection,0,1,0,"examples|tests"
ffx component collection list,0,1,0,"examples|tests"
ffx component collection show,0,1,0,"examples|tests"
ffx component config,0,1,2,"tests"
ffx component config list,0,1,0,"examples|tests"
ffx component config set,0,1,1,"tests"
ffx component config set --reload,0,1,1,"tests"
