element_id,tests,docs,examples,missing
pw_rpc/pw::rpc::internal::ChannelBase::Send,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::internal::ChannelBase::assigned,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::internal::ChannelBase::id,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::internal::ChannelBase::set_channel_output,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::internal::OverwriteChannelId,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::internal::SynchronousCallStatus,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::internal::UnwrapMethodId,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::internal::UnwrapServiceId,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::internal::WrapMethodId,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::internal::WrapServiceId,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::internal::test::PacketFilter,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::internal::test::PacketFilter::PacketFilter,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::internal::test::PacketFilter::operator,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::is_error,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::is_rpc_error,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::is_server_error,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::is_server_response,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::is_timeout,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::ok,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::response,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::status,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::test::SendResponseIfCalled,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::test::SystemClock::for_at_least,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::test::WaitForPackets,0,0,0,"docs.reference|examples|tests"
