element_id,tests,docs,examples,missing
fuchsia.io/HashAlgorithm,0,1,0,"examples|tests"
fuchsia.io/INHERITED_WRITE_PERMISSIONS,0,1,0,"examples|tests"
fuchsia.io/INO_UNKNOWN,0,1,0,"examples|tests"
fuchsia.io/Id,0,1,0,"examples|tests"
fuchsia.io/Linkable,0,0,0,"docs.reference|examples|tests"
fuchsia.io/Linkable.LinkInto,0,1,0,"examples|tests"
fuchsia.io/MASK_KNOWN_PERMISSIONS,0,0,0,"docs.reference|examples|tests"
fuchsia.io/MASK_KNOWN_PROTOCOLS,0,0,0,"docs.reference|examples|tests"
fuchsia.io/MASK_PERMISSION_FLAGS,0,0,0,"docs.reference|examples|tests"
fuchsia.io/MASK_POSIX_FLAGS,0,0,0,"docs.reference|examples|tests"
fuchsia.io/MAX_ATTRIBUTE_NAME,0,1,0,"examples|tests"
fuchsia.io/MAX_BUF,0,1,0,"examples|tests"
fuchsia.io/MAX_FILENAME,0,1,0,"examples|tests"
fuchsia.io/MAX_FS_NAME_BUFFER,0,0,0,"docs.reference|examples|tests"
fuchsia.io/MAX_INLINE_ATTRIBUTE_VALUE,0,1,0,"examples|tests"
fuchsia.io/MAX_LIST_ATTRIBUTES_CHUNK,0,1,0,"examples|tests"
fuchsia.io/MAX_NAME_LENGTH,0,1,0,"examples|tests"
fuchsia.io/MAX_PATH_LENGTH,0,1,0,"examples|tests"
fuchsia.io/MAX_SELINUX_CONTEXT_ATTRIBUTE_LEN,0,1,0,"examples|tests"
fuchsia.io/MAX_TRANSFER_SIZE,0,1,0,"examples|tests"
fuchsia.io/ModeType,0,0,0,"docs.reference|examples|tests"
fuchsia.io/MutableNodeAttributes,0,0,0,"docs.reference|examples|tests"
fuchsia.io/NODE_PROTOCOL_NAME,0,0,0,"docs.reference|examples|tests"
fuchsia.io/Name,0,1,0,"examples|tests"
fuchsia.io/Node,0,1,0,"examples|tests"
fuchsia.io/Node.Clone,0,1,0,"examples|tests"
fuchsia.io/Node.Clone2,0,0,0,"docs.reference|examples|tests"
fuchsia.io/Node.Close,0,1,0,"examples|tests"
fuchsia.io/Node.DeprecatedClone,0,1,0,"examples|tests"
fuchsia.io/Node.DeprecatedGetAttr,0,1,0,"examples|tests"
fuchsia.io/Node.DeprecatedGetFlags,0,1,0,"examples|tests"
fuchsia.io/Node.DeprecatedSetAttr,0,1,0,"examples|tests"
fuchsia.io/Node.DeprecatedSetFlags,0,1,0,"examples|tests"
fuchsia.io/Node.GetAttr,0,1,0,"examples|tests"
fuchsia.io/Node.GetAttributes,4,1,0,"examples"
fuchsia.io/Node.GetExtendedAttribute,0,1,0,"examples|tests"
fuchsia.io/Node.GetFlags,0,2,0,"examples|tests"
fuchsia.io/Node.ListExtendedAttributes,0,1,0,"examples|tests"
fuchsia.io/Node.OnOpen,0,1,0,"examples|tests"
fuchsia.io/Node.OnRepresentation,0,1,0,"examples|tests"
fuchsia.io/Node.Query,0,0,0,"docs.reference|examples|tests"
fuchsia.io/Node.QueryFilesystem,0,1,0,"examples|tests"
fuchsia.io/Node.RemoveExtendedAttribute,0,1,0,"examples|tests"
fuchsia.io/Node.SetAttr,0,1,0,"examples|tests"
fuchsia.io/Node.SetExtendedAttribute,0,1,0,"examples|tests"
fuchsia.io/Node.SetFlags,0,2,0,"examples|tests"
fuchsia.io/Node.Sync,0,1,0,"examples|tests"
fuchsia.io/Node.UpdateAttributes,1,1,0,"examples"
fuchsia.io/NodeAttributeFlags,0,1,0,"examples|tests"
fuchsia.io/NodeAttributes,0,1,0,"examples|tests"
fuchsia.io/NodeAttributes2,0,0,0,"docs.reference|examples|tests"
fuchsia.io/NodeAttributesQuery,0,0,0,"docs.reference|examples|tests"
fuchsia.io/NodeInfo,0,1,0,"examples|tests"
fuchsia.io/NodeProtocolKinds,0,1,0,"examples|tests"
fuchsia.io/OPEN_FLAGS_ALLOWED_WITH_NODE_REFERENCE,0,1,0,"examples|tests"
fuchsia.io/OPEN_RIGHTS,0,1,0,"examples|tests"
fuchsia.io/OpenFlags,0,1,0,"examples|tests"
fuchsia.io/Openable,0,1,0,"examples|tests"
fuchsia.io/Openable.Open,0,1,0,"examples|tests"
fuchsia.io/Operations,0,1,0,"examples|tests"
fuchsia.io/Options,0,1,0,"examples|tests"
fuchsia.io/PERM_EXECUTABLE,0,1,0,"examples|tests"
fuchsia.io/PERM_READABLE,0,1,0,"examples|tests"
fuchsia.io/PERM_WRITABLE,0,1,0,"examples|tests"
fuchsia.io/Path,0,1,0,"examples|tests"
fuchsia.io/RW_STAR_DIR,0,1,0,"examples|tests"
fuchsia.io/RX_STAR_DIR,0,1,0,"examples|tests"
fuchsia.io/R_STAR_DIR,0,1,0,"examples|tests"
fuchsia.io/Readable,0,0,0,"docs.reference|examples|tests"
fuchsia.io/Readable.Read,0,1,0,"examples|tests"
fuchsia.io/Rights,0,1,0,"examples|tests"
fuchsia.io/SELINUX_CONTEXT_NAME,0,1,0,"examples|tests"
fuchsia.io/SYMLINK_PROTOCOL_NAME,0,0,0,"docs.reference|examples|tests"
fuchsia.io/SeekOrigin,0,1,0,"examples|tests"
fuchsia.io/Symlink,0,1,0,"examples|tests"
fuchsia.io/Symlink.Clone,0,1,0,"examples|tests"
fuchsia.io/Symlink.Clone2,0,0,0,"docs.reference|examples|tests"
fuchsia.io/Symlink.Close,0,1,0,"examples|tests"
fuchsia.io/Symlink.DeprecatedClone,0,1,0,"examples|tests"
fuchsia.io/Symlink.DeprecatedGetAttr,0,1,0,"examples|tests"
fuchsia.io/Symlink.DeprecatedGetFlags,0,1,0,"examples|tests"
fuchsia.io/Symlink.DeprecatedSetAttr,0,1,0,"examples|tests"
fuchsia.io/Symlink.DeprecatedSetFlags,0,1,0,"examples|tests"
fuchsia.io/Symlink.Describe,0,0,0,"docs.reference|examples|tests"
fuchsia.io/Symlink.GetAttr,0,1,0,"examples|tests"
fuchsia.io/Symlink.GetAttributes,4,1,0,"examples"
fuchsia.io/Symlink.GetExtendedAttribute,0,1,0,"examples|tests"
fuchsia.io/Symlink.GetFlags,0,2,0,"examples|tests"
fuchsia.io/Symlink.LinkInto,0,1,0,"examples|tests"
fuchsia.io/Symlink.ListExtendedAttributes,0,1,0,"examples|tests"
fuchsia.io/Symlink.OnOpen,0,1,0,"examples|tests"
fuchsia.io/Symlink.OnRepresentation,0,1,0,"examples|tests"
fuchsia.io/Symlink.Open,0,1,0,"examples|tests"
fuchsia.io/Symlink.Query,0,0,0,"docs.reference|examples|tests"
fuchsia.io/Symlink.QueryFilesystem,0,1,0,"examples|tests"
fuchsia.io/Symlink.RemoveExtendedAttribute,0,1,0,"examples|tests"
fuchsia.io/Symlink.SetAttr,0,1,0,"examples|tests"
fuchsia.io/Symlink.SetExtendedAttribute,0,1,0,"examples|tests"
fuchsia.io/Symlink.SetFlags,0,2,0,"examples|tests"
fuchsia.io/Symlink.Sync,0,1,0,"examples|tests"
fuchsia.io/Symlink.UpdateAttributes,1,1,0,"examples"
fuchsia.io/SymlinkInfo,0,0,0,"docs.reference|examples|tests"
fuchsia.io/SymlinkTarget,0,0,0,"docs.reference|examples|tests"
fuchsia.io/Token,0,1,0,"examples|tests"
fuchsia.io/Transfer,0,1,0,"examples|tests"
fuchsia.io/VerificationOptions,0,1,0,"examples|tests"
fuchsia.io/W_STAR_DIR,0,1,0,"examples|tests"
fuchsia.io/WatchEvent,0,0,0,"docs.reference|examples|tests"
fuchsia.io/WatchMask,0,0,0,"docs.reference|examples|tests"
fuchsia.io/Writable,0,0,0,"docs.reference|examples|tests"
fuchsia.io/Writable.Write,0,1,0,"examples|tests"
fuchsia.io/X_STAR_DIR,0,1,0,"examples|tests"
fuchsia.unknown,0,0,0,"docs.reference|examples|tests"
fuchsia.unknown/Cloneable,0,1,0,"examples|tests"
fuchsia.unknown/Cloneable.Clone,0,0,0,"docs.reference|examples|tests"
fuchsia.unknown/Cloneable.Clone2,0,0,0,"docs.reference|examples|tests"
fuchsia.unknown/Closeable,0,1,0,"examples|tests"
fuchsia.unknown/Closeable.Close,0,1,0,"examples|tests"
fuchsia.unknown/Queryable,0,1,0,"examples|tests"
fuchsia.unknown/Queryable.Query,0,0,0,"docs.reference|examples|tests"
